group,q,kv,fused_ms,nvfp4_fa2_ms,fp8_fa2_ms,bf16_fa2_ms,fused_cosine,fused_vs_nvfp4_fa2_speedup,target_ms_for_2x,gap_to_target_ms,passes_2x,splits,split_kv_len
2,128,8192,0.17206400632858276,0.04553600028157234,0.041760001331567764,0.03651199862360954,0.991536557674408,0.26464570512565144,0.02276800014078617,0.1492960061877966,False,2,6656
2,128,32768,0.17260800302028656,0.08844800293445587,0.08057600259780884,0.05999999865889549,0.9913776516914368,0.5124212167848359,0.044224001467227936,0.12838400155305862,False,5,6656
2,128,65536,0.1746239960193634,0.14291200041770935,0.12889599800109863,0.09513600170612335,0.9929161071777344,0.8183984084401686,0.07145600020885468,0.10316799581050873,False,10,6656
2,128,131072,0.18188799917697906,0.2619520127773285,0.22944000363349915,0.17696000635623932,0.9899891018867493,1.4401830465046033,0.13097600638866425,0.05091199278831482,False,20,6656
2,128,262144,0.206496000289917,0.4963200092315674,0.4668799936771393,0.35040000081062317,0.9916821718215942,2.4035332816845956,0.2481600046157837,-0.0416640043258667,True,40,6656
2,256,8192,0.17187200486660004,0.05833600088953972,0.05417599901556969,0.040511999279260635,0.9915363192558289,0.33941537445157355,0.02916800044476986,0.14270400442183018,False,2,6656
2,256,32768,0.17270399630069733,0.14108799397945404,0.12646399438381195,0.09436800330877304,0.9913763403892517,0.8169353170832467,0.07054399698972702,0.1021599993109703,False,5,6656
2,256,65536,0.1783680021762848,0.2586880028247833,0.22950400412082672,0.16185599565505981,0.9929074645042419,1.4503049855832135,0.12934400141239166,0.04902400076389313,False,10,6656
2,256,131072,0.19788800179958344,0.49775999784469604,0.44233599305152893,0.3230400085449219,0.9899863004684448,2.515362191330914,0.24887999892234802,-0.05099199712276459,True,20,6656
2,256,262144,0.3681280016899109,0.964896023273468,0.889631986618042,0.6420480012893677,0.99167799949646,2.6210883682959794,0.482448011636734,-0.11432000994682312,True,40,6656
2,512,8192,0.1716800034046173,0.09171199798583984,0.08371199667453766,0.05878400057554245,0.9914748668670654,0.534203146359987,0.04585599899291992,0.1258240044116974,False,2,6656
2,512,32768,0.17423999309539795,0.26287999749183655,0.23043200373649597,0.16371199488639832,0.9913244247436523,1.5087236450239492,0.13143999874591827,0.042799994349479675,False,5,6656
2,512,65536,0.19094400107860565,0.5023360252380371,0.44787201285362244,0.30956798791885376,0.9928110241889954,2.6308028657639846,0.25116801261901855,-0.0602240115404129,True,10,6656
2,512,131072,0.35705599188804626,0.9870079755783081,0.87254399061203,0.6211839914321899,0.9900740385055542,2.7642946708699436,0.49350398778915405,-0.1364479959011078,True,20,6656
2,512,262144,0.688256025314331,1.9438079595565796,1.7458879947662354,1.240224003791809,0.9917594194412231,2.82425127868489,0.9719039797782898,-0.28364795446395874,True,40,6656
2,1024,8192,0.174112007021904,0.15014399588108063,0.1319040060043335,0.09920000284910202,0.9915404319763184,0.8623414229105515,0.07507199794054031,0.09904000908136368,False,2,6656
2,1024,32768,0.1926400065422058,0.5181120038032532,0.4577920138835907,0.31808000802993774,0.9913380742073059,2.689534812125015,0.2590560019016266,-0.06641599535942078,True,5,6656
2,1024,65536,0.35603201389312744,1.012384057044983,0.8895360231399536,0.6133120059967041,0.9929097294807434,2.8435197328880575,0.5061920285224915,-0.150160014629364,True,10,6656
2,1024,131072,0.6872959733009338,1.9875199794769287,1.7566399574279785,1.2327040433883667,0.9900943040847778,2.8917963391103547,0.9937599897384644,-0.3064640164375305,True,20,6656
